cora,GCN,0.1,72.98\pm 0.82
cora,GCN,0.3,72.20\pm 1.15
cora,GCN,0.5,70.28\pm 1.20
cora,GCN,0.7,70.56\pm 0.98
citeseer,GCN,0.1,57.68\pm 0.68
citeseer,GCN,0.3,58.59\pm 0.34
citeseer,GCN,0.5,66.63\pm 0.11
citeseer,GCN,0.7,58.23\pm 0.75
pubmed,GCN,0.1,60.04\pm 9.83
pubmed,GCN,0.3,53.89\pm 10.31
pubmed,GCN,0.5,67.03\pm 8.44
pubmed,GCN,0.7,47.47\pm 2.09
dblp,GCN,0.1,69.93\pm 3.14
dblp,GCN,0.3,68.36\pm 3.93
dblp,GCN,0.5,70.24\pm 4.96
dblp,GCN,0.7,69.46\pm 2.34
Physics,GCN,0.1,82.28\pm 1.43
Physics,GCN,0.3,79.85\pm 0.75
Physics,GCN,0.5,83.20\pm 1.67
Physics,GCN,0.7,84.44\pm 1.56
cora,GAT,0.1,68.59\pm 0.40
cora,GAT,0.3,68.07\pm 1.46
cora,GAT,0.5,68.33\pm 0.69
cora,GAT,0.7,70.31\pm 1.05
citeseer,GAT,0.1,58.99\pm 0.22
citeseer,GAT,0.3,56.66\pm 0.38
citeseer,GAT,0.5,57.91\pm 0.47
citeseer,GAT,0.7,59.46\pm 0.27
pubmed,GAT,0.1,44.65\pm 1.42
pubmed,GAT,0.3,54.06\pm 9.67
pubmed,GAT,0.5,52.33\pm 13.39
pubmed,GAT,0.7,49.79\pm 2.80
dblp,GAT,0.1,64.23\pm 1.55
dblp,GAT,0.3,66.53\pm 2.71
dblp,GAT,0.5,68.16\pm 2.50
dblp,GAT,0.7,70.57\pm 4.76
Physics,GAT,0.1,80.38\pm 0.59
Physics,GAT,0.3,79.18\pm 1.09
Physics,GAT,0.5,81.23\pm 1.68
Physics,GAT,0.7,79.92\pm 1.07
products,GCN,0.1,0.55\pm 0.00
cora,GCN,0.1,30.03\pm 0.00
cora,GCN,0.1,72.08\pm 1.31
products,GCN,0.1,81.30\pm 0.22
