dataset , ipc, layer_name, test_acc          , test_std
PROTEINS,   1, GCNConv   , 59.02031063321385 ,  3.71716826430204
PROTEINS,  10, GCNConv   , 64.75507765830348 ,  0.16896219383191366
PROTEINS,  50, GCNConv   , 65.59139784946237 ,  2.0485577299261957
PROTEINS,   1, GATConv   , 65.23297491039426 ,  1.5485640856410658
PROTEINS,  10, GATConv   , 66.66666666666667 ,  0.8779533128255083
PROTEINS,  50, GATConv   , 65.71087216248507 ,  1.0277569016777317
AIDS    ,   1, GCNConv   , 78.53333333333332 , 10.896278671587323
AIDS    ,  10, GCNConv   , 66.60000000000001 , 10.186265262597473
AIDS    ,  50, GCNConv   , 51.79999999999999 ,  9.195651146058118
AIDS    ,   1, GATConv   , 60.86666666666667 ,  1.3299958228840003
AIDS    ,  10, GATConv   , 72.33333333333333 ,  7.037676384211544
AIDS    ,  50, GATConv   , 72.93333333333334 ,  6.379829325477461

