dataset,baseline,experiment,exp_setup,coarsening_method,coarsening_ratio,extra_nodes,cluster_node,hidden,num_test_nodes,num_layers,batch_size,lr,ave_inf_time,ave_inf_loss,inf_loss_std,acc
cora,True,few,None,None,None,None,None,512,20,2,None,0.01,0.002644062042236328,1.1474916329018015,1.697378774364304,0.75
cora,False,few,Gc_train_2_Gs_infer,variation_neighborhoods,0.5,False,True,512,20,2,128,0.01,0.001962888240814209,5.89345311698263,17.0791644777792,0.85
cora,False,few,Gc_train_2_Gs_infer,variation_neighborhoods,0.5,True,False,512,20,2,128,0.01,0.002372884750366211,12.434093045164627,25.49592971447403,0.7
citeseer,True,few,None,None,None,None,None,512,20,2,None,0.01,0.004672841021889134,1.848636093735695,1.2554968489510776,0.4
citeseer,False,few,Gc_train_2_Gs_infer,variation_neighborhoods,0.1,False,True,512,20,2,128,0.01,0.0032593827498586555,7.36395266650355,21.441468028027348,0.7
citeseer,False,few,Gc_train_2_Gs_infer,variation_neighborhoods,0.3,False,True,512,20,2,128,0.01,0.0034184832321970085,21.459106731414796,33.53751103191165,0.5
###
citeseer,False,fixed,Gc_train_2_Gs_infer,variation_neighborhoods,0.1,False,True,512,20,2,128,0.01,0.003418872230931332,11.002795404052808,17.41942961462527,0.55
citeseer,False,fixed,Gc_train_2_Gs_infer,variation_neighborhoods,0.3,False,True,512,20,2,128,0.01,0.0035181171015689246,7.919254998475845,15.053422276032911,0.75
pubmed,False,fixed,Gc_train_2_Gs_infer,variation_neighborhoods,0.1,False,True,512,20,2,128,0.01,0.00406462267825478,1.169354226177336,3.5168377157448494,0.85
pubmed,False,fixed,Gc_train_2_Gs_infer,variation_neighborhoods,0.3,False,True,512,20,2,128,0.01,0.0031084135959022923,1.3773370880285256,2.255002616811893,0.6
### New changes
citeseer,True,fixed,None,None,None,None,None,512,20,2,None,0.01,0.0033846528906571237,0.7196547970641405,0.5313779271112479,0.75
citeseer,False,fixed,Gc_train_2_Gs_infer,variation_neighborhoods,0.3,False,True,512,20,2,128,0.01,0.0019488460139224404,9.124615204519978,19.130002257437567,0.65
citeseer,True,fixed,None,None,None,None,None,512,20,2,None,0.01,0.0029025454270212273,0.8546065325383096,0.9488439699767743,0.7
citeseer,False,fixed,Gc_train_2_Gs_infer,variation_neighborhoods,0.1,False,True,512,20,2,128,0.01,0.0018561262833444697,10.142277396598365,16.689071547728272,0.6
pubmed,True,fixed,None,None,None,None,None,512,20,2,None,0.01,0.004065400675723427,0.5161174669396132,0.5182769701013605,0.75
pubmed,False,fixed,Gc_train_2_Gs_infer,variation_neighborhoods,0.3,False,True,512,20,2,128,0.01,0.0018132987775300678,0.9743366659560706,1.4460028152592097,0.7
pubmed,True,fixed,None,None,None,None,None,512,20,2,None,0.01,0.0043610773588481705,0.5919922271743416,0.6826523363720435,0.65
pubmed,False,fixed,Gc_train_2_Gs_infer,variation_neighborhoods,0.1,False,True,512,20,2,128,0.01,0.0019193072068063837,1.5375593626589275,2.704308711356364,0.65
dblp,True,random,None,None,None,None,None,512,20,2,None,0.01,0.006426196349294562,1.4405520880594849,1.8083476419400153,0.55
dblp,False,random,Gc_train_2_Gs_infer,variation_neighborhoods,0.3,False,True,512,20,2,128,0.01,0.0018906844289679277,2.977697220937034,7.189907789470245,0.7
dblp,True,random,None,None,None,None,None,512,20,2,None,0.01,0.006232449882908871,1.3793302375674101,2.5329734263584087,0.6
dblp,False,random,Gc_train_2_Gs_infer,variation_neighborhoods,0.1,False,True,512,20,2,128,0.01,0.002011989292345549,5.020078677548097,12.049293222880635,0.8
Physics,True,random,None,None,None,None,None,512,20,2,None,0.01,0.025087231083920126,0.28260177336437664,0.655386594724078,0.9
Physics,False,random,Gc_train_2_Gs_infer,variation_neighborhoods,0.3,False,True,512,20,2,128,0.01,0.0017999096920615749,26.951972579956056,69.75739959644268,0.85
Physics,True,random,None,None,None,None,None,512,20,2,None,0.01,0.025337859203940945,0.3328448608462168,0.6409405505221312,0.85
Physics,False,random,Gc_train_2_Gs_infer,variation_neighborhoods,0.1,False,True,512,20,2,128,0.01,0.0020277123702199837,29.22047381401062,64.51141724040426,0.75
