dataset,coarsening_method,coarsening_ratio,exp_setup,extra_nodes,cluster_node,hidden,num_layers,batch_size,lr,best_test_loss,best_test_acc
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,False,512,2,128,0.01,1.9827491641044617,0.2727272727272727
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,False,512,2,128,0.01,1.89282888174057,0.09090909090909091
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,False,512,2,128,0.01,1.8928882479667664,0.045454545454545456
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,False,512,2,128,0.01,1.8687352538108826,0.09090909090909091
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,128,0.01,1.871332049369812,0.18181818181818182
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,128,0.01,1.7992050051689148,0.09090909090909091
ENZYMES,variation_neighborhoods,0.5,Gs_train_2_Gs_infer,False,False,512,2,128,0.01,1.7975557446479797,0.22727272727272727
ENZYMES,variation_neighborhoods,0.5,Gs_train_2_Gs_infer,True,False,512,2,128,0.01,1.7892414331436157,0.18181818181818182
ENZYMES,variation_neighborhoods,0.5,Gs_train_2_Gs_infer,False,True,512,2,128,0.01,1.849130630493164,0.22727272727272727
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,False,512,2,128,0.01,1.8245712518692017,0.3181818181818182
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,False,512,2,128,0.01,1.8881888389587402,0.045454545454545456
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,True,False,512,2,128,0.01,1.8603965044021606,0.22727272727272727
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,True,512,2,128,0.01,2.176224708557129,0.13636363636363635
### Grid Search
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,False,512,2,32,0.01,7.178167247772217,0.22727272727272727
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,False,512,2,32,0.001,1.8105121374130249,0.18181818181818182
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,False,512,2,32,0.001,1.853718638420105,0.13636363636363635
ENZYMES,variation_neighborhoods,0.5,Gc_train_2_Gs_infer,False,False,512,4,32,0.001,1.8797009944915772,0.18181818181818182
ENZYMES,variation_neighborhoods,1.0,Gc_train_2_Gs_infer,False,False,512,4,32,0.001,1.8153393745422364,0.13636363636363635
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,False,False,512,2,128,0.01,1.9128682017326355,0.13636363636363635
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,False,False,512,2,128,0.01,1.9784922003746033,0.18181818181818182
ENZYMES,kron,0.5,Gc_train_2_Gs_infer,False,False,512,2,128,0.01,1.8445672988891602,0.18181818181818182
