dataset  ,coarsening_method       ,coarsening_ratio ,exp_setup           ,extra_nodes ,cluster_node ,community_used ,hidden ,num_layers1 ,num_layers2 ,epochs1 ,epochs2 ,batch_size ,lr   ,best_test_loss     ,best_test_acc
PROTEINS ,variation_neighborhoods ,             0.3 ,Gc_train_2_Gs_infer ,True        ,False        ,False          ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01 ,0.6754869023958842 ,0.6521739130434783
PROTEINS ,variation_neighborhoods ,             0.5 ,Gc_train_2_Gs_infer ,True        ,False        ,False          ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01 ,0.671046773592631  ,0.7391304347826086
PROTEINS ,algebraic_JC            ,             0.3 ,Gc_train_2_Gs_infer ,True        ,False        ,False          ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01 ,0.6035156647364298 ,0.782608695652174
PROTEINS ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,True        ,False        ,False          ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01 ,0.7345705628395081 ,0.4782608695652174
PROTEINS ,kron                    ,             0.3 ,Gc_train_2_Gs_infer ,True        ,False        ,False          ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01 ,0.8113137483596802 ,0.5217391304347826
PROTEINS ,kron                    ,             0.5 ,Gc_train_2_Gs_infer ,True        ,False        ,False          ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01 ,0.726078728834788  ,0.6521739130434783
PROTEINS ,heavy_edge              ,             0.3 ,Gc_train_2_Gs_infer ,True        ,False        ,False          ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01 ,0.6098248759905497 ,0.5652173913043478
PROTEINS ,heavy_edge              ,             0.5 ,Gc_train_2_Gs_infer ,True        ,False        ,False          ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01 ,0.7301548520723978 ,0.6086956521739131
PROTEINS ,variation_edges         ,             0.3 ,Gc_train_2_Gs_infer ,True        ,False        ,False          ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01 ,0.6444209218025208 ,0.6521739130434783
PROTEINS ,variation_edges         ,             0.5 ,Gc_train_2_Gs_infer ,True        ,False        ,False          ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01 ,0.7316212256749471 ,0.5652173913043478
PROTEINS ,variation_cliques       ,             0.3 ,Gc_train_2_Gs_infer ,True        ,False        ,False          ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01 ,0.6414689421653748 ,0.6956521739130435
PROTEINS ,variation_cliques       ,             0.5 ,Gc_train_2_Gs_infer ,True        ,False        ,False          ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01 ,0.7150763074556986 ,0.6521739130434783
