dataset,coarsening_method,coarsening_ratio,experiment,extra_nodes,cluster_node,hidden,runs,num_layers,batch_size,lr,ave_acc,ave_time,top_10_acc
citeseer,variation_neighborhoods,0.0,fixed,False,True,512,50,2,128,0.01,0.6846000000000001 +/- 0.011961605243444508,0.002891097068786621,0.7011 +/- 0.0020712315177208
citeseer,variation_neighborhoods,0.0,few,False,True,512,50,2,128,0.01,0.5635083713979221 +/- 0.05170447059450585,0.0034296369552612306,0.6282302510716472 +/- 0.018738317942969568
citeseer,variation_neighborhoods,0.1,fixed,False,True,512,50,2,128,0.01,0.6733 +/- 0.012249489785293088,0.0034122371673583982,0.6906000000000001 +/- 0.007337574531137621
citeseer,variation_neighborhoods,0.1,few,False,True,512,50,2,128,0.01,0.5743655644272251 +/- 0.04214288642385526,0.0034892606735229493,0.625538128859916 +/- 0.013996432495838845
### (10/08)
dataset,coarsening_method,coarsening_ratio,experiment,exp_setup,extra_nodes,cluster_node,hidden,runs,num_layers,batch_size,lr,ave_acc,ave_time,top_10_acc,best_acc,top_10_loss,best_loss
citeseer,variation_neighborhoods,0.5,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.5776892430278885 +/- 0.03766620938984551,0.027770805358886718,0.5776892430278885 +/- 0.03766620938984551, 0.6356114005516396, 0.9981912164127126 +/- 0.22859867059718392, 0.5662547279806698
citeseer,variation_neighborhoods,0.5,fixed,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.6876 +/- 0.003261901286059972,0.029881715774536133,0.6876 +/- 0.003261901286059972, 0.691, 0.709497283486759 +/- 0.11197058077048362, 0.5205613865571863
citeseer,variation_neighborhoods,0.5,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.5872411184823301 +/- 0.019033807424741783,0.029613256454467773,0.5872411184823301 +/- 0.019033807424741783, 0.6071100214526509, 1.0619302413042855 +/- 0.09580727496068499, 0.9883444168988396
citeseer,variation_neighborhoods,0.5,fixed,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.6841999999999999 +/- 0.017127755252805285,0.02778787612915039,0.6841999999999999 +/- 0.017127755252805285, 0.699, 0.6760010214412914 +/- 0.22952017245435694, 0.4631221434649299
citeseer,variation_neighborhoods,0.5,few,Gc_train_2_Gs_infer,True,False,512,5,2,128,0.01,0.6205081114172023 +/- 0.021601800638929147,0.03093376159667969,0.6205081114172023 +/- 0.021601800638929147, 0.6424854606672789, 0.8023678050321692 +/- 0.06423911024349117, 0.737911673153148
citeseer,variation_neighborhoods,0.5,fixed,Gc_train_2_Gs_infer,True,False,512,5,2,128,0.01,0.6824 +/- 0.022992172581119838,0.02857513427734375,0.6824 +/- 0.022992172581119838, 0.71, 0.6189894732306984 +/- 0.24020179156010055, 0.4193260529462029
###
citeseer,variation_neighborhoods,0.1,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.614549964711255 +/- 0.021876972499170814,0.015498161315917969,0.6145499647112551 +/- 0.02187697249917081, 0.6516129032258065, 0.961957041422526 +/- 0.27834980405024495, 0.48830609851413304
citeseer,variation_neighborhoods,0.1,fixed,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.6769999999999999 +/- 0.02338375504490241,0.015222311019897461,0.6769999999999999 +/- 0.02338375504490241, 0.709, 1.26041325463189 +/- 0.23411250974838496, 0.8943253623114692
citeseer,variation_neighborhoods,0.3,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.559466996216557 +/- 0.0456185850144818,0.022116565704345705,0.559466996216557 +/- 0.0456185850144818, 0.6308210784313726, 1.1104363954984224 +/- 0.6483545879448503, 0.3391128319960374
citeseer,variation_neighborhoods,0.3,fixed,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.6914 +/- 0.0067111846942249755,0.023931312561035156,0.6914 +/- 0.0067111846942249755, 0.701, 0.7369199165931115 +/- 0.13416215417513055, 0.6172747978797326
citeseer,variation_neighborhoods,0.1,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.6061038206199496 +/- 0.05063267029621688,0.014906358718872071,0.6061038206199496 +/- 0.05063267029621688, 0.6603194103194103, 0.9844110806783041 +/- 0.39851499469509416, 0.23294782638549805
citeseer,variation_neighborhoods,0.1,fixed,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.662 +/- 0.01013903348450927,0.015407943725585937,0.662 +/- 0.01013903348450927, 0.679, 1.096043872833252 +/- 0.17722347309813838, 0.8429666625128852
citeseer,variation_neighborhoods,0.3,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.5205269607843137 +/- 0.032054827320338444,0.023287391662597655,0.5205269607843138 +/- 0.032054827320338444, 0.5793504901960784, 1.5413310637840858 +/- 0.6997059315141315, 0.5264638387239896
citeseer,variation_neighborhoods,0.3,fixed,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.7038 +/- 0.007678541528180994,0.022159242630004884,0.7038 +/- 0.007678541528180993, 0.717, 0.7241796786968525 +/- 0.07240415688642772, 0.6257134217482346
citeseer,variation_neighborhoods,0.1,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.5927740727740728 +/- 0.02508045073399127,0.015406656265258788,0.5927740727740728 +/- 0.02508045073399127, 0.6362519201228879, 1.4670298099517822 +/- 0.6910541886741883, 0.24039970503913033
citeseer,variation_neighborhoods,0.1,fixed,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.6719999999999999 +/- 0.033057525618231005,0.0162017822265625,0.6719999999999999 +/- 0.033057525618231005, 0.704, 1.1663575490315754 +/- 0.2537890349063508, 0.8306535085042318
citeseer,variation_neighborhoods,0.3,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.5961397058823529 +/- 0.022051503415057287,0.02153439521789551,0.596139705882353 +/- 0.022051503415057287, 0.6240808823529411, 1.2233209243187537 +/- 0.6863158789568463, 0.3610240129324106
citeseer,variation_neighborhoods,0.3,fixed,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.7013999999999999 +/- 0.011200000000000009,0.02564206123352051,0.7013999999999999 +/- 0.01120000000000001, 0.722, 0.7659679632920484 +/- 0.14003148610787397, 0.5915636282700759
citeseer,variation_neighborhoods,0.3,fixed,Gs_train_2_Gs_infer,False,True,512,3,2,128,0.01,0.6443333333333333 +/- 0.01472714802291636,0.021669785181681316,0.6443333333333333 +/- 0.014727148022916362, 0.663, 0.08227475942709507 +/- 0.006835133625737952, 0.07419053866313054
